Country,Survey Year,0,1,2,3,4,5,6,7,8,9,10
United States,"Spring, 2019",0,1,1,3,5,13,12,22,25,8,9
Canada,"Spring, 2019",0,0,1,2,5,8,13,27,30,7,5
France,"Spring, 2019",1,0,1,5,6,20,14,26,18,5,3
Germany,"Spring, 2019",1,1,1,3,5,16,11,21,28,8,6
Greece,"Spring, 2019",3,2,4,6,8,22,15,21,13,3,3
Italy,"Spring, 2019",1,1,1,2,6,13,22,27,19,3,4
Netherlands,"Spring, 2019",1,0,0,2,2,8,8,26,40,9,2
Spain,"Spring, 2019",2,1,2,4,8,17,14,26,17,6,4
Sweden,"Spring, 2019",0,1,1,2,4,8,9,26,33,11,5
United Kingdom,"Spring, 2019",1,1,1,5,6,15,13,25,22,6,4
Bulgaria,"Spring, 2019",3,2,5,11,11,26,14,16,9,2,1
Czech Republic,"Spring, 2019",1,1,1,3,5,19,12,26,19,8,5
Hungary,"Spring, 2019",0,0,3,7,6,22,15,20,17,7,3
Lithuania,"Spring, 2019",0,0,1,5,7,16,17,20,16,5,4
Poland,"Spring, 2019",0,0,1,3,4,18,17,25,19,8,4
Slovakia,"Spring, 2019",0,0,3,8,9,16,14,19,18,6,5
Russia,"Spring, 2019",3,3,2,9,12,30,12,12,7,3,6
Ukraine,"Spring, 2019",3,4,7,12,12,24,11,14,7,3,2
Australia,"Spring, 2019",1,1,1,2,4,10,12,25,26,11,7
India,"Spring, 2019",5,4,10,12,12,27,10,6,5,2,6
Indonesia,"Spring, 2019",2,2,2,7,5,19,15,14,13,6,14
Japan,"Spring, 2019",2,1,3,7,10,24,16,18,16,1,2
Philippines,"Spring, 2019",3,5,5,6,9,27,11,10,8,4,12
South Korea,"Spring, 2019",2,0,1,6,4,22,13,21,20,4,6
Israel,"Spring, 2019",0,0,1,1,3,5,14,21,31,15,9
Lebanon,"Spring, 2019",6,7,7,12,9,21,15,12,7,2,1
Tunisia,"Spring, 2019",9,2,4,8,11,27,14,11,7,2,4
Turkey,"Spring, 2019",6,3,3,7,8,23,19,15,8,1,4
Kenya,"Spring, 2019",14,4,4,7,8,26,7,4,3,2,20
Nigeria,"Spring, 2019",4,3,3,5,13,19,13,10,6,3,17
South Africa,"Spring, 2019",12,3,4,5,7,17,7,8,7,3,26
Argentina,"Spring, 2019",4,2,1,4,4,19,11,20,17,4,14
Brazil,"Spring, 2019",2,1,1,3,5,14,12,16,18,8,18
Mexico,"Spring, 2019",2,1,1,2,4,12,9,16,26,11,15
